InvoiceNo;StockCode;Description;Quantity;InvoiceDate;UnitPrice;CustomerID;Country
562602;23345; DOLLY GIRL BEAKER;12;08/08/2011 10:11;1,25;12865;Austria
563100;23345; DOLLY GIRL BEAKER;12;12/08/2011 09:57;1,25;12381;Norway
574442;23472; NINE DRAWER OFFICE TIDY;2;04/11/2011 11:40;14,95;12704;Finland
573200;22167; OVAL WALL MIRROR DIAMANTE ;2;28/10/2011 11:43;9,95;12432;Norway
546780;23007; SPACEBOY BABY GIFT SET;24;17/03/2011 07:40;14,95;12435;Denmark
554132;23007; SPACEBOY BABY GIFT SET;6;23/05/2011 09:43;14,95;12360;Austria
563100;22418;10 COLOUR SPACEBOY PEN;24;12/08/2011 09:57;0,85;12381;Norway
574690;20973;12 PENCIL SMALL TUBE WOODLAND;24;06/11/2011 13:11;0,65;12638;Sweden
543027;20975;12 PENCILS SMALL TUBE RED RETROSPOT;48;02/02/2011 14:51;0,65;12414;Austria
546530;20975;12 PENCILS SMALL TUBE RED RETROSPOT;768;14/03/2011 13:25;0,65;17404;Sweden
543027;20974;12 PENCILS SMALL TUBE SKULL;24;02/02/2011 14:51;0,65;12414;Austria
546530;20974;12 PENCILS SMALL TUBE SKULL;384;14/03/2011 13:25;0,65;17404;Sweden
562600;20974;12 PENCILS SMALL TUBE SKULL;24;08/08/2011 10:01;0,65;12676;Sweden
570875;20984;12 PENCILS TALL TUBE POSY;24;12/10/2011 17:00;0,29;12667;Finland
578811;20982;12 PENCILS TALL TUBE SKULLS;24;25/11/2011 13:28;0,85;12438;Norway
559928;20981;12 PENCILS TALL TUBE WOODLAND;12;14/07/2011 08:52;0,85;12405;Finland
565287;20981;12 PENCILS TALL TUBE WOODLAND;12;02/09/2011 11:42;0,85;12483;Sweden
578811;20981;12 PENCILS TALL TUBE WOODLAND;24;25/11/2011 13:28;0,85;12438;Norway
536532;22567;20 DOLLY PEGS RETROSPOT;24;01/12/2010 13:24;1,25;12433;Norway
537868;22567;20 DOLLY PEGS RETROSPOT;24;08/12/2010 16:49;1,25;12433;Norway
538003;22567;20 DOLLY PEGS RETROSPOT;12;09/12/2010 12:05;1,25;12429;Denmark
562853;22567;20 DOLLY PEGS RETROSPOT;24;10/08/2011 10:15;1,45;13919;Denmark
570875;22567;20 DOLLY PEGS RETROSPOT;12;12/10/2011 17:00;1,45;12667;Finland
536532;22315;200 RED + WHITE BENDY STRAWS;12;01/12/2010 13:24;1,25;12433;Norway
537868;22315;200 RED + WHITE BENDY STRAWS;12;08/12/2010 16:49;1,25;12433;Norway
567306;22315;200 RED + WHITE BENDY STRAWS;72;19/09/2011 13:32;1,25;12752;Norway
545226;85034A;3 GARDENIA MORRIS BOXED CANDLES;4;01/03/2011 09:33;4,25;12428;Finland
557621;22171;3 HOOK PHOTO SHELF ANTIQUE WHITE;4;21/06/2011 14:00;8,5;12444;Norway
542911;22964;3 PIECE SPACEBOY COOKIE CUTTER SET;6;01/02/2011 15:41;2,1;12676;Sweden
556127;22964;3 PIECE SPACEBOY COOKIE CUTTER SET;12;09/06/2011 10:23;2,1;12406;Denmark
563100;22964;3 PIECE SPACEBOY COOKIE CUTTER SET;12;12/08/2011 09:57;2,1;12381;Norway
573108;22964;3 PIECE SPACEBOY COOKIE CUTTER SET;12;27/10/2011 15:09;2,1;12430;Norway
574694;22964;3 PIECE SPACEBOY COOKIE CUTTER SET;6;06/11/2011 13:36;2,1;12381;Norway
576019;22964;3 PIECE SPACEBOY COOKIE CUTTER SET;6;13/11/2011 14:31;2,1;12865;Austria
577126;22964;3 PIECE SPACEBOY COOKIE CUTTER SET;12;17/11/2011 19:22;2,1;12406;Denmark
575736;23434;3 RAFFIA RIBBONS 50'S CHRISTMAS ;10;11/11/2011 08:47;0,79;12697;Sweden
575736;23435;3 RAFFIA RIBBONS VINTAGE CHRISTMAS;10;11/11/2011 08:47;0,79;12697;Sweden
542428;22838;3 TIER CAKE TIN RED AND CREAM;8;28/01/2011 10:00;14,95;17404;Sweden
556127;22965;3 TRADITIONAl BISCUIT CUTTERS  SET;12;09/06/2011 10:23;2,1;12406;Denmark
557939;22965;3 TRADITIONAl BISCUIT CUTTERS  SET;6;23/06/2011 15:44;2,1;12697;Sweden
563100;22965;3 TRADITIONAl BISCUIT CUTTERS  SET;6;12/08/2011 09:57;2,1;12381;Norway
565124;22965;3 TRADITIONAl BISCUIT CUTTERS  SET;6;01/09/2011 12:09;2,1;12436;Norway
539338;22949;36 DOILIES DOLLY GIRL;144;17/12/2010 10:54;1,45;17404;Sweden
546530;22949;36 DOILIES DOLLY GIRL;144;14/03/2011 13:25;1,45;17404;Sweden
567306;22949;36 DOILIES DOLLY GIRL;12;19/09/2011 13:32;1,45;12752;Norway
561902;22950;36 DOILIES VINTAGE CHRISTMAS;144;31/07/2011 15:50;1,45;17404;Sweden
536532;22956;36 FOIL HEART CAKE CASES;12;01/12/2010 13:24;2,1;12433;Norway
